left_elbow-left_wrist,left_elbow_angle,left_hip-left_knee,left_hip_angle,left_knee-left_ankle,left_knee_angle,left_shoulder-left_elbow,left_shoulder_angle,mid_shoulder-mid_hip,mid_shoulder_angle,nose-mid_shoulder,right_elbow-right_wrist,right_elbow_angle,right_hip-right_knee,right_hip_angle,right_knee-right_ankle,right_knee_angle,right_shoulder-right_elbow,right_shoulder_angle
117.9382695305546,195.65357853105084,92.0385591448664,262.0550982796614,83.52221576169816,171.48365661683175,102.28469099950378,288.1108106044303,98.03021365570397,215.75805234155223,62.2721613141517,99.6415432166772,171.56813514917707,109.6224177665256,99.63899838752641,82.26053210241356,152.63811433588796,108.07340806750013,113.89949053283556
119.5751126816736,197.92391133480248,91.151153896674,260.24459852499365,80.86750029953522,169.7163464028612,101.65120134687108,281.65120134687106,96.88599006699246,214.01286661224023,62.87312345475224,100.40055689610172,173.3649221058952,111.92125883352428,101.0146583398959,88.21364209295606,156.29238325943183,107.0356347902065,107.0356347902065
118.42590608742172,196.1012567171801,91.18521320747264,261.7228180047303,79.59951673781576,168.41430353034315,102.3246493702416,285.0948594896688,96.0226522984732,213.36178961167772,62.66086268679543,104.21583743406146,180.17966035111044,111.64435921401765,102.18196401127533,92.09522747411471,160.45086826009702,104.03617708295101,106.806414329574
118.73444454389248,196.02700859240173,89.19983069210186,259.32072721797965,78.42329822704441,169.22346753494259,102.70743595149072,286.79863545521783,96.1894244560903,215.6563495977613,60.53307485832893,-85.12738574041883,347.3028732316934,111.5683752008164,101.6892359835504,96.1207209271427,164.5523457263263,107.5697410278878,111.66095289282237
116.95191430423952,197.27477585965076,88.84017138908662,256.937376072394,78.01736482081466,169.17719343172803,99.6771384445888,281.72504975823387,95.91246480919327,215.3583625711194,60.55410223807387,-87.21069216590348,345.96492632465294,105.66764296895698,93.76484124523232,101.29645191250916,175.6288089435522,106.82438150944358,108.8723083032074
114.04354744808425,193.8745185779764,84.25507173614214,253.75697227717887,78.04238697563305,173.7873152394909,100.16902887010788,280.16902887010787,96.89507628485516,216.7487677791344,60.14630850572077,97.7951495924045,170.91868467727792,105.63259657022913,95.13446483362276,101.00684530690786,175.3742487366787,106.87646491512656,106.87646491512656
112.10314204193897,193.052584542664,84.06703061989037,256.1953832690552,76.26306216229293,172.19603154240255,99.05055749927497,279.9340432378847,94.99690215134004,211.97316031176405,63.02374183957599,104.33220262168128,184.89176963643663,104.7103659594128,96.83882376425578,101.13434163108045,176.42397567166765,99.44043298524463,100.32391872385432
110.29123620967412,192.09336022240436,83.87106741591657,259.53864697853425,75.16344422265126,171.2923768067347,98.19787598726978,278.1978759872698,95.64671820714477,213.14525865642656,62.5014595507182,-89.52251468191722,348.8592172365037,100.9291884032725,96.59669477864931,100.07219501894144,179.14300661566892,101.61826808157907,101.61826808157907
107.70821771909915,192.47124439124067,83.2676787771605,256.61264086704546,70.97599749341421,167.7083187162537,95.2369733278585,276.2787020238176,95.11499049976673,212.73046081665316,62.3845296831136,117.4723402821517,206.44943261068343,102.90629777998952,96.25125986987447,98.12936854725363,175.22307076726412,91.02290767146826,92.06461427649408
105.680872269954,190.062791469114,85.19974228372129,254.07153827680935,69.06389979976959,163.86415751604827,95.61808080084008,275.61808080084006,94.78495984959494,213.3718215081473,61.41313834144765,99.35382212488929,173.61371520284743,102.31609693925569,91.18789293234374,97.64570258108984,175.32960564183415,105.74010692204187,105.74010692204187
