left_elbow-left_wrist,left_elbow_angle,left_hip-left_knee,left_hip_angle,left_knee-left_ankle,left_knee_angle,left_shoulder-left_elbow,left_shoulder_angle,mid_shoulder-mid_hip,mid_shoulder_angle,nose-mid_shoulder,right_elbow-right_wrist,right_elbow_angle,right_hip-right_knee,right_hip_angle,right_knee-right_ankle,right_knee_angle,right_shoulder-right_elbow,right_shoulder_angle
107.48313753410068,17.483137534100695,-87.72867745473374,2.271322545266264,107.53654464538585,15.265222100119551,-90.0,341.7092888920672,91.175311162319,166.04335908906535,105.13195207325369,108.08916477430736,198.08916477430736,-87.7286767230614,182.2713232769386,107.18183933914544,14.910516062206849,90.0,341.7092888920672
113.43532864226988,203.43532864226987,93.31665151169676,93.31665151169676,91.64358443685565,178.32693292515887,90.0,175.38329989775087,89.26698500363467,4.57661418819247,-95.30962918455779,113.07480992243428,197.10981256562653,90.0,270.0,99.18762269142623,189.1876226914262,95.96499735680776,1.3484732107011732
112.75365393376865,196.28268684678616,-92.25165672249642,356.4969364114421,112.11207620296808,24.363732925464504,96.47096708698248,303.43144803703274,90.47732753381784,347.60064454657333,-77.12331701275549,113.31123038786367,198.0131332464269,95.43410282744536,4.182695961383912,113.38927515466033,197.9551723272149,95.2980971414368,122.25520034525228
-95.6632367502569,346.4953060860592,-84.33704540501202,0.7348075462552847,102.07211133966995,6.409156744681972,97.84145716368393,7.841457163683933,95.31119513742024,185.31119513742027,90.0,-83.71231888922259,356.6157067397569,90.0,355.07170108219503,102.65367273814093,192.65367273814087,99.67197437102051,189.67197437102047
113.95147135213308,193.25058435260448,90.0,180.0,107.05746279257664,197.05746279257667,100.7008869995286,190.70088699952856,88.28458047561836,177.19157817275203,91.09300230286632,112.8253153259593,190.7637568116704,90.0,0.0,107.7632723134696,197.7632723134696,102.06155851428888,12.061558514288889
114.49362846567064,191.3596061592743,-83.68771608662495,287.6701145366728,132.14659728183156,35.8343133684565,103.13402230639632,264.6227130939716,88.58605363193497,181.02220866326368,87.56384496867129,115.32796190523597,194.75450894240595,-90.0,101.35932243877625,132.58209974138876,42.582099741388745,100.57345296283005,82.0621437504053
111.84580293683148,201.84580293683143,90.0,90.0,111.72652926896764,201.72652926896765,90.0,90.0,0.0,180.0,0.0,111.18316708144492,201.1831670814449,90.0,90.0,111.46916960008532,201.46916960008528,90.0,90.0
114.58834604429228,192.32012620216776,93.34651746056063,3.3465174605606287,108.97016899201257,195.623651531452,102.26821984212452,147.4408593688148,83.31776826629375,173.81299807148403,89.50477019480974,113.18145796381879,189.65857211269008,94.50209987207725,184.50209987207725,109.3955214475747,194.89342157549743,103.52288585112866,328.69552537781897
113.24173100780943,187.96168267510427,96.95579563158871,288.30505142067364,106.84696434062236,189.89116870903365,105.28004833270516,258.63436349083696,80.9026090741947,171.8461226951037,89.05648637909101,112.79882269830588,189.99649327478613,93.38729116649638,104.73803622698092,108.72486258150948,195.33757141501312,102.80232942351977,76.15442905439468
90.0,141.81625614454586,100.83362166713044,277.95725857994887,105.18405774850191,184.35043608137144,128.18374385545417,301.6321987472718,86.77610957357558,194.10557816845264,72.67053140512294,113.42985122013158,191.1490828100941,79.16637833286956,76.29001524568805,114.76729662684345,215.60091829397388,102.28076841003748,95.72922330185517
