left_elbow-left_wrist,left_elbow_angle,left_hip-left_knee,left_hip_angle,left_knee-left_ankle,left_knee_angle,left_shoulder-left_elbow,left_shoulder_angle,mid_shoulder-mid_hip,mid_shoulder_angle,nose-mid_shoulder,right_elbow-right_wrist,right_elbow_angle,right_hip-right_knee,right_hip_angle,right_knee-right_ankle,right_knee_angle,right_shoulder-right_elbow,right_shoulder_angle
-99.42735847267053,350.57264152732944,59.130935717011006,232.76712238080637,85.61779616019705,206.4868604431861,90.0,263.9685978763318,-68.27192413100771,23.08680591234957,88.64126995664273,-60.02463492714497,318.4756998263508,114.36312180748224,107.99869228491524,90.0,155.63687819251777,161.49966524650415,155.46826312283596
-98.77931178453035,354.81092937779994,44.88983544851146,217.79231577855396,86.17110312941188,221.2812676809004,86.40975883766971,260.4237513963533,-58.93806665675551,32.368768837268334,88.69316450597614,-62.263354681049535,331.3252036219691,114.52724744329032,107.42904031625469,101.3518669614226,166.82461951813227,146.4114416969814,140.42540376873248
-100.31232817232436,353.5044766365196,59.01678724772325,190.67178068354875,90.0,210.98321275227676,86.18319519115602,260.1787597037102,-110.7866532207449,337.8483025450034,91.36504423425174,-64.86852191036743,1.9172700149208235,76.99587383891225,28.650880024408053,90.0,193.00412616108773,113.21420807471173,107.20977258726596
-94.70536588459758,351.52729153169867,59.34778853519538,232.929630414472,90.0,210.65221146480465,93.76734258370377,267.98617233360187,-59.34754640359912,30.65232215331209,90.00013144308876,-65.25346818431407,2.377018239136996,116.28258633172489,109.86388392614865,98.03148056935852,161.74889423763366,112.36951357654893,106.58834332644705
-116.19232267373197,333.807677326268,59.44791677819808,231.1859026872189,85.31344272492002,205.86552594672196,90.0,263.1803849452095,-68.51881670907487,25.701151597562383,85.78003169336276,-66.71265072883266,352.09638406479337,108.15592477889724,99.89312775885608,116.19231012232328,188.03638534342605,121.190965206374,114.3717135062853
-90.0,0.0,45.200685890123616,219.96990160967573,94.05727242327984,228.8565865331562,90.0,259.307317234004,-160.2184981229127,292.8539156601715,86.92758621691584,-65.84566396103196,350.64917259794606,8.186350970169022,2.9558167748268662,110.9034074655686,282.7170564953996,123.50516344102196,112.8124174555421
-110.96170802621111,339.0382919737889,45.11288267690608,217.3175000610364,94.06979161380144,228.95690893689536,90.0,255.9104442710234,-160.27490823596165,292.89244068355214,86.83265108048617,-65.78025515285633,352.7131920032064,12.14121405072036,4.345550184240796,110.96184994364457,278.82063589292426,121.50655284393724,107.41707893506548
81.01018853970825,16.223008934970974,45.32367317417464,209.20691963679323,150.9151360993051,285.5914629251305,-115.21282039526272,54.667576947734936,-68.4209095075721,23.03130484401696,88.54778564841095,-65.13301594852645,355.4002243147287,90.0,73.88229347918772,114.76973733895008,204.76973733895008,119.46675973674483,109.3474767516748
-108.66147705082464,337.7152926513827,50.97359659110288,221.63337051140311,93.86406999699203,222.8904734058892,93.62323029779265,259.76278843655246,-67.93699670899353,25.11533524056562,86.94766805044085,-65.41236006053037,354.51796518631454,124.0374114661008,114.6962916877962,112.06181599100222,168.02440452490143,120.06967475315504,106.20915283482256
-108.5053775448352,337.9037969150332,51.22662346968712,219.9626128746443,93.82952995355488,222.60290648386777,93.59082554013165,259.60946784249046,-58.93288339138121,34.09226352503374,86.97485308358506,-66.4858166698919,355.1154771585691,135.11730565708228,123.85201418741678,111.88198151309872,156.76467585601642,118.39870617153896,104.41734847389776
