sector1,sector2,sector3,sector4,sector5,sector6,sector7,sector8,sector9,sector10,sector11
1.28,1.55,1.04,51.66,0.43373493975903615,50.0,18.0,6.0,62.33,57.17,60.0
1.25,1.49,0.92,46.67,0.33939759036144584,48.34,16.17,2.67,47.67,52.33,45.0
0.0,1.55,1.67,48.34,0.35734939759036144,38.33,21.0,3.33,53.34,49.33,45.0
1.45,1.62,1.33,48.33,0.4236144578313253,43.34,20.33,4.33,50.66,53.0,43.33
1.0,1.7,2.28,56.67,0.427710843373494,53.33,17.0,4.0,64.5,56.83,48.33
1.4,1.75,2.2,65.0,0.40759036144578314,48.33,21.83,3.17,72.33,66.83,56.67
1.02,1.65,2.05,61.67,0.41373493975903625,50.0,19.5,3.17,62.5,66.83,68.33
0.83,1.27,0.75,46.67,0.34337349397590367,43.33,12.5,2.33,63.17,47.17,43.33
0.43,1.11,0.57,31.67,0.3212048192771084,33.33,16.5,1.67,55.17,36.17,31.67
0.57,0.92,0.57,18.34,0.18674698795180728,28.34,12.67,1.5,33.67,28.0,31.67
0.33,0.8,1.25,11.67,0.12048192771084339,23.33,10.33,1.33,32.16,18.17,35.0
0.25,0.74,1.14,8.33,0.0924096385542169,21.67,9.83,1.5,57.16,20.33,23.33
0.17,0.71,0.83,13.33,0.09638554216867469,23.33,10.83,3.83,53.0,26.67,18.33
0.18,0.76,1.36,13.33,0.10843373493975904,20.0,10.17,4.17,49.84,28.17,16.67
0.5,0.83,1.88,21.67,0.1666265060240964,31.67,9.33,2.33,56.33,27.17,20.0
0.55,1.12,2.38,50.0,0.41566265060240964,53.33,16.83,6.83,68.84,49.67,41.67
0.95,1.31,2.92,70.0,0.7550602409638555,71.67,28.17,6.5,92.5,77.33,65.0
0.69,1.4,2.07,78.33,0.8092771084337349,78.33,27.5,5.33,70.17,69.67,63.33
0.0,1.48,2.05,68.33,0.7771084337349398,79.88,32.0,6.83,76.83,66.33,60.0
0.1,1.55,1.54,60.0,0.7469879518072289,72.11,20.83,5.33,72.17,62.67,65.0
0.85,1.6,1.4,56.67,0.6345783132530121,67.74,19.33,5.17,69.0,59.33,55.0
0.93,1.63,3.39,53.33,0.4859036144578313,62.15,19.17,5.67,60.0,57.33,50.0
1.27,1.7,0.97,51.66,0.4659036144578314,56.33,20.5,5.33,52.33,60.5,56.67
0.55,1.65,0.74,53.33,0.4859036144578313,55.55,18.17,4.0,65.5,58.33,56.67
0.88,1.59,1.29,51.66,0.47192771084337354,48.72,16.83,3.33,53.5,59.0,53.33
0.35,1.53,1.5,50.0,0.4920481927710844,39.11,15.5,2.67,43.67,51.83,41.67
1.52,1.6,1.03,46.67,0.5402409638554218,40.62,21.0,3.0,48.33,53.83,51.67
0.62,1.66,0.76,53.33,0.5963855421686747,44.06,19.83,2.83,50.83,51.17,48.33
0.35,1.75,1.27,56.67,0.6144578313253012,50.11,18.5,3.33,53.67,56.17,45.0
0.38,1.79,1.53,60.0,0.6767469879518072,50.55,20.5,2.83,59.0,65.5,55.0
1.13,1.69,1.74,58.34,0.536144578313253,45.55,19.33,2.5,55.66,64.5,58.33
1.05,1.31,1.27,41.67,0.3595180722891567,42.12,14.5,1.67,44.5,47.83,45.0
1.18,1.33,0.72,31.67,0.3132530120481928,32.25,16.83,2.0,48.84,35.0,35.0
0.58,1.1,0.61,18.34,0.1987951807228916,25.31,13.33,2.17,26.5,26.83,33.33
0.23,0.96,0.85,15.0,0.036144578313253004,28.75,10.0,1.0,27.16,20.67,25.0
0.17,0.88,1.83,13.33,0.04409638554216867,25.07,10.5,1.5,52.5,23.83,25.0
0.15,0.84,1.15,11.67,0.07421686746987953,25.67,9.17,3.5,46.17,16.67,18.33
0.2,0.9,1.76,18.34,0.07228915662650602,29.4,10.17,5.17,57.5,27.5,16.67
0.32,0.99,2.45,21.67,0.12650602409638556,35.76,12.0,2.5,65.67,36.17,23.33
0.7,1.33,1.98,58.34,0.526144578313253,45.98,21.33,9.33,75.83,52.33,48.33
0.85,1.85,1.15,65.0,0.7430120481927711,75.72,23.0,6.0,80.67,65.83,58.33
1.38,1.91,1.19,60.0,0.5039759036144578,68.25,20.67,4.17,69.16,60.33,53.33
0.0,1.94,1.24,55.0,0.536144578313253,61.36,18.5,6.83,57.5,60.83,55.0
1.17,2.02,0.88,58.33,0.45987951807228916,59.1,16.5,5.67,46.83,59.33,58.33
0.0,1.96,0.95,56.67,0.48192771084337355,55.05,21.0,4.17,52.34,59.5,53.33
1.2,1.89,1.59,53.33,0.43373493975903615,54.9,18.83,2.83,46.5,55.83,58.33
0.98,1.82,0.77,50.0,0.39951807228915664,48.9,17.5,3.17,51.34,53.33,46.67
1.37,1.9,1.8,51.66,0.381566265060241,45.42,23.33,3.17,44.17,55.83,48.33
0.75,1.97,2.2,53.33,0.4036144578313254,45.36,20.5,4.83,57.5,58.0,46.67
0.83,2.08,2.95,50.0,0.39759036144578314,52.99,16.33,3.5,61.67,57.83,63.33
0.0,2.13,2.76,55.0,0.37554216867469886,50.05,17.67,3.17,52.0,58.5,48.33
0.0,2.01,1.7,53.33,0.3373493975903615,48.54,16.5,2.17,58.67,59.67,53.33
0.95,1.55,1.01,38.33,0.3132530120481928,40.42,12.67,1.67,44.5,44.33,40.0
0.72,1.55,1.51,31.67,0.24698795180722893,36.22,16.0,1.33,52.67,35.17,30.0
0.78,1.28,0.82,26.66,0.20277108433734942,27.85,9.5,1.17,47.5,31.83,31.67
0.4,1.18,0.91,16.67,0.28710843373493977,25.52,6.83,0.83,45.83,24.33,33.33
0.15,1.09,2.15,10.0,0.25096385542168675,24.22,7.17,0.83,46.5,22.5,25.0
0.1,1.05,0.98,8.33,0.2168674698795181,26.43,12.67,0.83,37.83,19.0,18.33
0.22,1.02,1.71,11.67,0.12048192771084339,24.52,5.33,1.0,51.34,25.67,15.0
0.28,1.07,1.68,11.66,0.13048192771084338,30.97,5.67,2.0,45.83,24.17,16.67
0.27,1.15,2.18,26.67,0.18867469879518073,29.46,8.83,5.67,34.5,28.33,25.0
0.82,1.46,1.6,41.67,0.2630120481927711,35.41,18.0,4.33,49.33,46.0,36.67
1.15,2.04,2.3,66.67,0.39951807228915664,50.65,22.5,5.5,54.66,72.5,56.67
0.0,2.55,1.65,78.34,0.5060240963855421,59.53,27.0,7.33,60.5,77.67,63.33
1.05,2.69,1.27,73.33,0.6304819277108433,59.63,21.83,4.0,68.33,88.17,68.33
0.15,2.87,1.18,65.0,0.45385542168674703,53.98,20.33,3.0,55.5,66.0,56.67
1.5,2.71,1.23,60.0,0.35144578313253017,45.0,19.17,3.0,52.33,62.67,53.33
0.91,2.54,0.94,58.34,0.2751807228915663,45.0,22.5,2.83,52.34,59.83,56.67
0.73,2.58,0.83,53.33,0.28915662650602414,38.33,17.5,2.0,41.67,54.17,51.67
0.88,2.18,0.5,50.0,0.2390361445783133,35.0,17.83,2.17,42.5,52.17,46.67
1.2,2.14,1.08,43.33,0.21289156626506028,31.67,21.33,2.17,34.0,48.33,46.67
0.7,2.15,1.05,50.0,0.2530120481927711,31.67,21.17,1.83,47.0,49.0,46.67
0.77,2.18,1.34,51.66,0.2872289156626507,33.34,15.33,3.17,41.0,50.0,45.0
